1_Bioinformatics & Computational Biology_Harvard University,2_Bioinformatics & Computational Biology_Massachusetts Institute of Technology,1
1_Algorithms & Theory_Princeton University,2_Algorithms & Theory_University of Illinois at Urbana-Champaign,1
1_Operating Systems_University of Washington,2_Operating Systems_Cornell University,1
1_Networks & Communications_University of California - Berkeley,2_Networks & Communications_University of Illinois at Urbana-Champaign,1
1_Algorithms & Theory_University of California - Berkeley,2_Algorithms & Theory_Massachusetts Institute of Technology,4
1_Data Mining_Georgia Institute of Technology,2_Data Mining_Georgia Institute of Technology,1
1_Machine Learning & Pattern Recognition_Massachusetts Institute of Technology,2_Machine Learning & Pattern Recognition_Georgia Institute of Technology,1
1_Networks & Communications_Massachusetts Institute of Technology,2_Networks & Communications_Stanford University,1
1_Algorithms & Theory_University of Toronto,2_Algorithms & Theory_University of Washington,1
1_Software Engineering_Massachusetts Institute of Technology,2_Software Engineering_Stanford University,1
1_Software Engineering_Georgia Institute of Technology,2_Software Engineering_Georgia Institute of Technology,1
1_Machine Learning & Pattern Recognition_Brown University,2_Machine Learning & Pattern Recognition_Carnegie Mellon University,1
1_Graphics_Cornell University,2_Graphics_University of Texas - Austin,2
1_Graphics_University of North Carolina - Chapel Hill,2_Graphics_Stanford University,1
1_Data Mining_Carnegie Mellon University,2_Data Mining_Stanford University,1
1_Networks & Communications_New York University,2_Networks & Communications_Princeton University,1
1_Software Engineering_University of Virginia,2_Software Engineering_Carnegie Mellon University,1
1_Machine Learning & Pattern Recognition_Stanford University,2_Machine Learning & Pattern Recognition_University of Washington,2
1_Computer Vision_University of Wisconsin - Madison,2_Computer Vision_University of Washington,1
1_Human-Computer Interaction_University of California - Los Angeles,2_Human-Computer Interaction_Carnegie Mellon University,1
1_Databases_Northwestern University,2_Databases_Georgia Institute of Technology,1
1_Human-Computer Interaction_Yale University,2_Human-Computer Interaction_Carnegie Mellon University,1
1_Networks & Communications_Georgia Institute of Technology,2_Networks & Communications_University of Illinois at Urbana-Champaign,1
1_Networks & Communications_University of California - Berkeley,2_Networks & Communications_Massachusetts Institute of Technology,1
1_Algorithms & Theory_Stanford University,2_Algorithms & Theory_University of Washington,1
1_Graphics_Massachusetts Institute of Technology,2_Graphics_Massachusetts Institute of Technology,1
