Name,University,JoinYear,Rank,Subfield,Bachelors,Doctorate
Konstantinos Daskalakis,Massachusetts Institute of Technology,2009,Associate,Algorithms & Theory,National Technical University of Athens,University of California - Berkeley
Leslie Kaelbling,Massachusetts Institute of Technology,2000,Full,Artificial Intelligence,Stanford University,Stanford University
Li-Shiuan Peh,Massachusetts Institute of Technology,2009,Associate,Networks & Communications,National University of Singapore,Stanford University
Madhu Sudan,Massachusetts Institute of Technology,2007,Associate,Algorithms & Theory,Indian Institute of Technology - Delhi,University of California - Berkeley
Manolis Kellis,Massachusetts Institute of Technology,2004,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Martin Rinard,Massachusetts Institute of Technology,2000,Full,Programming Languages,Brown University,Stanford University
Marvin Minsky,Massachusetts Institute of Technology,1958,Full,Artificial Intelligence,Harvard University,Princeton University
Michael R. Watts,Massachusetts Institute of Technology,2010,Associate,Networks & Communications,Tufts University,Massachusetts Institute of Technology
Muriel Medard,Massachusetts Institute of Technology,1995,Full,Networks & Communications,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Nickolai Zeldovich,Massachusetts Institute of Technology,,Associate,Operating Systems,Massachusetts Institute of Technology,Stanford University
Nir Shavit,Massachusetts Institute of Technology,,Full,Distributed & Parallel Computing,Technion-Israel Institute of Technology,Hebrew University of Jerusalem
Pablo Parrilo,Massachusetts Institute of Technology,,Associate,Software Engineering,University of Buenos Aires,California Institute of Technology
Patrick Winston,Massachusetts Institute of Technology,,Full,Artificial Intelligence,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Rahul Sarpeshkar,Massachusetts Institute of Technology,,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology,California Institute of Technology
Rajeev Ram,Massachusetts Institute of Technology,2007,Full,Networks & Communications,California Institute of Technology,University of California - Santa Barbara
Randall Davis,Massachusetts Institute of Technology,1978,Full,Artificial Intelligence,Dartmouth College,Stanford University
Rob Miller,Massachusetts Institute of Technology,2002,Full,Human-Computer Interaction,Massachusetts Institute of Technology,Carnegie Mellon University
Robert Berwick,Massachusetts Institute of Technology,,Full,Natural Language & Speech,Harvard University,Massachusetts Institute of Technology
Robert Morris,Massachusetts Institute of Technology,,Full,Networks & Communications,Harvard University,Harvard University
Ron Weiss,Massachusetts Institute of Technology,2009,Associate,Bioinformatics & Computational Biology,Brandeis University,Massachusetts Institute of Technology
Ronald Rivest,Massachusetts Institute of Technology,1974,Full,Security & Privacy,Yale University,Stanford University
Ronitt Rubinfeld,Massachusetts Institute of Technology,1998,Associate,Algorithms & Theory,University of Michigan,University of California - Berkeley
Russell Tedrake,Massachusetts Institute of Technology,2012,Associate,Machine Learning & Pattern Recognition,University of Michigan,Massachusetts Institute of Technology
Saman Amarasinghe,Massachusetts Institute of Technology,,Full,Programming Languages,Cornell University,Stanford University
Samuel Madden,Massachusetts Institute of Technology,2004,Full,Databases,Massachusetts Institute of Technology,University of California - Berkeley
Scott Aaronson,Massachusetts Institute of Technology,2007,Associate,Algorithms & Theory,Cornell University,University of California - Berkeley
Shafrira Goldwasser,Massachusetts Institute of Technology,1983,Full,Security & Privacy,Carnegie Mellon University,University of California - Berkeley
Silvio Micali,Massachusetts Institute of Technology,1983,Full,Security & Privacy,University of Rome - La Sapienza,University of California - Berkeley
Srini Devadas,Massachusetts Institute of Technology,1988,Full,Hardware & Architecture,Indian Institute of Technology - Madras,University of California - Berkeley
Stephen Ward,Massachusetts Institute of Technology,,Full,Hardware & Architecture,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Tomas Lozano-Perez,Massachusetts Institute of Technology,,Full,Artificial Intelligence,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Victor Zue,Massachusetts Institute of Technology,,Full,Natural Language & Speech,University of Florida,Massachusetts Institute of Technology
Vinod Vaikuntanathan,Massachusetts Institute of Technology,2013,Assistant,Security & Privacy,Indian Institute of Technology - Madras,Massachusetts Institute of Technology
William Freeman,Massachusetts Institute of Technology,2001,Full,Computer Vision,Stanford University,Massachusetts Institute of Technology
William Peake,Massachusetts Institute of Technology,,Full,Machine Learning & Pattern Recognition,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Wojciech Matusik,Massachusetts Institute of Technology,2011,Associate,Graphics,University of California - Berkeley,Massachusetts Institute of Technology
Allan Gottlieb,New York University,,Full,Distributed & Parallel Computing,Massachusetts Institute of Technology,Brandeis University
Benjamin Goldberg,New York University,1994,Associate,Programming Languages,Williams College,Yale University
Bhubaneswar Mishra,New York University,,Full,Computer Education,Indian Institute of Technology - Kharagpur,Carnegie Mellon University
Chee K. Yap,New York University,1981,Full,Algorithms & Theory,Massachusetts Institute of Technology,Yale University
Christoph Bregler,New York University,2002,Full,Multimedia,Karlsruhe Institute of Technology,University of California - Berkeley
Clark Barrett,New York University,,Associate,Algorithms & Theory,Brigham Young University,Stanford University
Davi Geiger,New York University,1998,Associate,Computer Vision,Pontifical Catholic University of Rio de Janeiro,Massachusetts Institute of Technology
David Sontag,New York University,2011,Assistant,Machine Learning & Pattern Recognition,University of California - Berkeley,Massachusetts Institute of Technology
Denis Zorin,New York University,,Full,Graphics,Moscow Institute of Physics and Technology,California Institute of Technology
Dennis Shasha,New York University,1984,Full,Databases,Yale University,Harvard University
Ernest Davis,New York University,1983,Full,Artificial Intelligence,Massachusetts Institute of Technology,Yale University
Helen Nissenbaum,New York University,2001,Full,Security & Privacy,University of the Witwatersrand,Stanford University
Jinyang Li,New York University,2012,Associate,Networks & Communications,National University of Singapore,Massachusetts Institute of Technology
Joel Spencer,New York University,2010,Full,Algorithms & Theory,Massachusetts Institute of Technology,Harvard University
Juliana Freire,New York University,2014,Affiliate,Data Mining,Federal University of Ceará,State University of New York - Stony Brook
Kenneth Perlin,New York University,1987,Full,Graphics,Harvard University,New York University
Lakshminarayanan Subramanian,New York University,2006,Associate,Networks & Communications,Indian Institute of Technology - Madras,University of California - Berkeley
Margaret H. Wright,New York University,,Full,Scientific Computing,Stanford University,Stanford University
Mehryar Mohri,New York University,2004,Full,Machine Learning & Pattern Recognition,École Polytechnique,Paris XI
Michael L. Overton,New York University,1979,Full,Software Engineering,University of British Columbia,Stanford University
Michael Walfish,New York University,2014,Associate,Security & Privacy,Harvard University,Massachusetts Institute of Technology
Mohamed Zahran,New York University,2010,Clinical,Hardware & Architecture,Cairo University - Cairo,University of Maryland - College Park
Panayotis Mavromatis,New York University,,Affiliate,Multimedia,University of Cambridge,Eastman School of Music
Ralph Grishman,New York University,1973,Full,Hardware & Architecture,Columbia College,Columbia University
Richard Bonneau,New York University,2005,Assistant,Bioinformatics & Computational Biology,Florida State University,University of Washington
Richard Cole,New York University,2011,Full,Algorithms & Theory,University College - Oxford,Cornell University
Rob Fergus,New York University,2007,Associate,Computer Vision,University of Cambridge,University of Oxford
Robert Grimm,New York University,2002,Associate,Programming Languages,Massachusetts Institute of Technology,University of Washington
Subhash Khot,New York University,2008,Full,Algorithms & Theory,Indian Institute of Technology - Bombay,Princeton University
Victor Shoup,New York University,2002,Full,Algorithms & Theory,University of Wisconsin - Eau Claire,University of Wisconsin - Madison
Yann LeCun,New York University,2003,Full,Machine Learning & Pattern Recognition,École Supérieure d'Ingénieurs en Électronique et Électrotechnique,Universite Pierre et Marie Curie
Yevgeniy Dodis,New York University,2001,Full,Security & Privacy,New York University,Massachusetts Institute of Technology
Zvi Kedem,New York University,1991,Full,Distributed & Parallel Computing,Technion-Israel Institute of Technology,Technion-Israel Institute of Technology
Ben Watson,North Carolina State University,2006,Associate,Graphics,University of California - Irvine,Georgia Institute of Technology
Blair D. Sullivan,North Carolina State University,2013,Assistant,Algorithms & Theory,Georgia Institute of Technology,Princeton University
Carla D. Savage,North Carolina State University,,Full,Algorithms & Theory,Case Western Reserve University,University of Illinois at Urbana-Champaign
Christopher G. Healey,North Carolina State University,2003,Full,Graphics,University of Waterloo - Ontario,University of British Columbia
David L. Roberts,North Carolina State University,2010,Assistant,Artificial Intelligence,Colgate University,Georgia Institute of Technology
David Sturgill,North Carolina State University,2011,Assistant,Distributed & Parallel Computing,University of South Carolina,Cornell University
David Thuente,North Carolina State University,2001,Full,Networks & Communications,Lorse College,University of Kansas
Dennis R. Bahler,North Carolina State University,1987,Associate,Artificial Intelligence,Rice University,University of Virginia
Douglas S. Reeves,North Carolina State University,1987,Full,Security & Privacy,Indiana University,Pennsylvania State University
Edward Gehringer,North Carolina State University,2000,Associate,Real-Time & Embedded Systems,Wayne State University,Purdue University
Emerson Murphy-Hill,North Carolina State University,2010,Assistant,Software Engineering,Evergreen State College,Portland State University
Frank Mueller,North Carolina State University,2010,Full,Real-Time & Embedded Systems,Technical University of Berlin,Florida State University
George N. Rouskas,North Carolina State University,1994,Full,Networks & Communications,National Technical University of Athens,Georgia Institute of Technology
Harry Perros,North Carolina State University,,Full,Networks & Communications,University of Athens,Trinity College - Dublin
Injong Rhee,North Carolina State University,2001,Full,Networks & Communications,Gyeongbuk University,University of North Carolina - Chapel Hill
James C. Lester,North Carolina State University,1994,Full,Artificial Intelligence,University of Texas - Austin,University of Texas - Austin
Jon Doyle,North Carolina State University,2001,Full,Artificial Intelligence,University of Houston,Massachusetts Institute of Technology
Kemafor Anyanwu Ogan,North Carolina State University,2007,Assistant,Artificial Intelligence,University of Nigeria,University of Georgia
Khaled Harfoush,North Carolina State University,,Associate,Security & Privacy,Alexandria University,Boston University
Kristy Elizabeth Boyer,North Carolina State University,,Assistant,Artificial Intelligence,Valdosta State University,North Carolina State University
Laurie Williams,North Carolina State University,,Full,Software Engineering,Lehigh University,University of Utah
Michael Young,North Carolina State University,1999,Full,Artificial Intelligence,California State University - Sacramento,Stanford University
Min Chi,North Carolina State University,2013,Assistant,Artificial Intelligence,Shanghai Jiao Tong University - Shanghai,University of Pittsburgh
Munindar P. Singh,North Carolina State University,1993,Full,Scientific Computing,Indian Institute of Technology - Delhi,University of Texas - Austin
Nagiza Samatova,North Carolina State University,2007,Full,Programming Languages,Tashkent State University of Economics,Russian Academy of Sciences
Peng Ning,North Carolina State University,2001,Full,Security & Privacy,University of Science and Technology of China,George Mason University
R. Michael Young,North Carolina State University,1999,Full,Graphics,California State University - Sacramento,University of Pittsburgh
Randy Avent,North Carolina State University,,Full,Scientific Computing,University of North Carolina - Chapel Hill,University of North Carolina - Chapel Hill
Robert Fornaro,North Carolina State University,,Full,Software Engineering,Saint Vincent College,Pennsylvania State University
Robert St. Amant,North Carolina State University,2001,Associate,Software Engineering,Johns Hopkins University,University of Massachusetts - Amherst
Rudra Dutta,North Carolina State University,,Full,Networks & Communications,Jadavpur University,North Carolina State University
Sarah Heckman,North Carolina State University,,Teaching,Software Engineering,North Carolina State University,North Carolina State University
Tiffany Barnes,North Carolina State University,,Associate,Computer Education,North Carolina State University,North Carolina State University
Ting Yu,North Carolina State University,2003,Associate,Security & Privacy,Peking University - Beijing,University of Illinois at Urbana-Champaign
Vincent W. Freeh,North Carolina State University,2003,Associate,Real-Time & Embedded Systems,University of Arizona,University of Arizona
William Enck,North Carolina State University,2011,Assistant,Operating Systems,Pennsylvania State University,Pennsylvania State University
William J. Stewart,North Carolina State University,1978,Full,Machine Learning & Pattern Recognition,Queen's University - Ontario,Queen's University - Ontario
Xiaohui (Helen) Gu,North Carolina State University,2008,Associate,Real-Time & Embedded Systems,Peking University - Beijing,University of Illinois at Urbana-Champaign
Xiaosong Ma,North Carolina State University,,Associate,Hardware & Architecture,Peking University - Beijing,University of Illinois at Urbana-Champaign
Aggelos Katsaggelos,Northwestern University,1985,Full,Networks & Communications,Aristotle University of Thessaloniki,Georgia Institute of Technology
Alan V Sahakian,Northwestern University,1984,Full,Algorithms & Theory,University of Wisconsin - Parkside,University of Wisconsin - Madison
Aleksandar Kuzmanovic,Northwestern University,2005,Associate,Networks & Communications,University of Belgrade,Rice University
Allen Taflove,Northwestern University,1988,Full,Algorithms & Theory,Northwestern University,Northwestern University
Alok N Choudhary,Northwestern University,,Full,Computer Vision,Birla Institute of Technology and Science - Pilani,University of Illinois at Urbana-Champaign
Arthur Butz,Northwestern University,,Associate,Scientific Computing,Massachusetts Institute of Technology,University of Minnesota - Twin Cities
Benjamin Watson,Northwestern University,2006,Associate,Computer Education,University of California - Irvine,Georgia Institute of Technology
Brenna D Argall,Northwestern University,2011,Assistant,Artificial Intelligence,Carnegie Mellon University,Carnegie Mellon University
Bryan Pardo,Northwestern University,2004,Associate,Human-Computer Interaction,Ohio State University,University of Michigan
Chang Liu,Northwestern University,2007,Full,Bioinformatics & Computational Biology,Tsinghua University - Beijing,California Institute of Technology
Chi-Haur Wu,Northwestern University,1983,Associate,Computer Vision,National Taiwan University - Taipei,Purdue University
Chung-Chieh Lee,Northwestern University,,Full,Distributed & Parallel Computing,National Taiwan University - Taipei,Princeton University
Don Norman,Northwestern University,,Full,Human-Computer Interaction,Massachusetts Institute of Technology,University of Pennsylvania
Dongning Guo,Northwestern University,2004,Associate,Software Engineering,University of Science and Technology of China,Princeton University
Doug Downey,Northwestern University,2008,Assistant,Natural Language & Speech,Case Western Reserve University,University of Washington
Fabin E Bustamante,Northwestern University,2008,Associate,Networks & Communications,National University of Patagonia San Juan Bosco,Georgia Institute of Technology
Goce Trajcevski,Northwestern University,2007,Assistant,Algorithms & Theory,University of Sts. Kiril and Metodij - Skopje,University of Illinois at Chicago
Gokhan Memik,Northwestern University,2003,Associate,Hardware & Architecture,Bogaziçi University,University of California - Los Angeles
Hai Zhou,Northwestern University,2007,Assistant,Algorithms & Theory,Tsinghua University - Beijing,University of Texas - Austin
Haoqi Zhang,Northwestern University,2013,Assistant,Human-Computer Interaction,Harvard University,Harvard University
Hooman Mohseni,Northwestern University,2004,Associate,Bioinformatics & Computational Biology,Amirkabir University of Technology,Northwestern University
Horace Yuen,Northwestern University,,Full,Graphics,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Ian Horswill,Northwestern University,,Associate,Artificial Intelligence,University of Minnesota - Twin Cities,Massachusetts Institute of Technology
Jack Tumblin,Northwestern University,,Associate,Graphics,Georgia Institute of Technology,Georgia Institute of Technology
Jason D Hartline,Northwestern University,2008,Associate,Algorithms & Theory,Cornell University,University of Washington
Kenneth D Forbus,Northwestern University,1992,Full,Human-Computer Interaction,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Koray Aydin,Northwestern University,2011,Assistant,Hardware & Architecture,Bilkent University,Bilkent University
Kristian Hammond,Northwestern University,,Full,Artificial Intelligence,Yale University,Yale University
Larry Birnbaum,Northwestern University,1989,Full,Natural Language & Speech,Yale University,Yale University
Lawrence Henschen,Northwestern University,1971,Full,Networks & Communications,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Louis Gomez,Northwestern University,2001,Associate,Computer Education,State University of New York - Stony Brook,University of California - Berkeley
Manijeh Razeghi,Northwestern University,1991,Full,Algorithms & Theory,University of Paris,University of Paris
Martin Plonus,Northwestern University,,Full,Networks & Communications,University of Illinois at Urbana-Champaign,University of Michigan
Matthew Grayson,Northwestern University,,Associate,Scientific Computing,University of Notre Dame,Princeton University
Michael Honig,Northwestern University,1994,Full,Networks & Communications,Stanford University,University of California - Berkeley
Michael Horn,Northwestern University,2010,Assistant,Computer Education,Brown University,Tufts University
Ming-Yang Kao,Northwestern University,,Full,Algorithms & Theory,National Taiwan University - Taipei,Yale University
Morteza Amir Rahimi,Northwestern University,1992,Full,Hardware & Architecture,Michigan State University,University of Iowa
Nikos Hardavellas,Northwestern University,2009,Assistant,Distributed & Parallel Computing,University of Crete,Carnegie Mellon University
Peter A Dinda,Northwestern University,,Full,Distributed & Parallel Computing,University of Wisconsin - Madison,Carnegie Mellon University
Peter Scheuermann,Northwestern University,1979,Full,Databases,Tel Aviv University,State University of New York - Stony Brook
Prem Kumar,Northwestern University,1986,Full,Scientific Computing,University of Delhi,State University of New York - Buffalo
Randall Berry,Northwestern University,2000,Full,Networks & Communications,Missouri University of Science and Technology,Massachusetts Institute of Technology
Randy Freeman,Northwestern University,1996,Full,Scientific Computing,Cornell University,University of California - Santa Barbara
Robby Findler,Northwestern University,,Associate,Programming Languages,Carnegie Mellon University,Rice University
Robert P Dick,Northwestern University,,Associate,Real-Time & Embedded Systems,Clarkson University,Princeton University
Russ Joseph,Northwestern University,,Associate,Hardware & Architecture,Carnegie Mellon University,Princeton University
Seda Ogrenci Memik,Northwestern University,2009,Associate,Computer Education,Bogaziçi University,University of California - Los Angeles
Selim Shahriar,Northwestern University,,Full,Networks & Communications,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Seng-Tiong Ho,Northwestern University,1991,Full,Networks & Communications,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Thrasyvoulos N Pappas,Northwestern University,1999,Full,Graphics,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Tom Hinrichs,Northwestern University,2002,Research,Artificial Intelligence,Cornell University,Georgia Institute of Technology
Uri Wilensky,Northwestern University,,Full,Computer Education,Brandeis University,Massachusetts Institute of Technology
Wei-Chung Lin,Northwestern University,,Associate,Computer Vision,National Taiwan University - Taipei,Purdue University
Yan Chen,Northwestern University,,Associate,Networks & Communications,Zhejiang University - Hangzhou,University of California - Berkeley
Ying Wu,Northwestern University,2001,Full,Computer Vision,Huazhong University of Science and Technology,University of Illinois at Urbana-Champaign
Anish Arora,Ohio State University,2002,Full,Distributed & Parallel Computing,Indian Institute of Technology - Delhi,University of Texas - Austin
Arnab Nandi,Ohio State University,2012,Assistant,Databases,University of Delhi,University of Michigan
Atanas Rountev,Ohio State University,2002,Associate,Software Engineering,Technical University of Sofia,Rutgers - State University of New Jersey - New Brunswick
Brian Kulis,Ohio State University,2012,Assistant,Machine Learning & Pattern Recognition,Cornell University,University of Texas - Austin
Christopher Stewart,Ohio State University,2009,Assistant,Distributed & Parallel Computing,Morehouse College,University of Rochester
Chunyi Peng,Ohio State University,2013,Assistant,Networks & Communications,Tsinghua University - Beijing,University of California - Los Angeles
Dhabaleswar K (DK) Panda,Ohio State University,1991,Full,Distributed & Parallel Computing,Indian Institute of Technology - Kanpur,University of Southern California
DeLiang Wang,Ohio State University,1991,Full,Networks & Communications,Peking University - Beijing,University of Southern California
Dong Xuan Xuan,Ohio State University,2007,Full,Distributed & Parallel Computing,Shanghai Jiao Tong University - Shanghai,Texas A&M University
Eric Fosler-Lussier,Ohio State University,2003,Associate,Natural Language & Speech,University of California - Berkeley,International Computer Science Institute
Feng Qin,Ohio State University,2006,Associate,Operating Systems,University of Science and Technology of China,University of Illinois at Urbana-Champaign
Gagan Agrawal,Ohio State University,2003,Full,Distributed & Parallel Computing,Indian Institute of Technology - Kanpur,University of Maryland - College Park
Han-Wei Shen,Ohio State University,2006,Full,Graphics,National Taiwan University - Taipei,University of Utah
Huamin Wang,Ohio State University,2011,Assistant,Graphics,Zhejiang University - Hangzhou,Georgia Institute of Technology
Kannan Srinivasan,Ohio State University,2011,Assistant,Networks & Communications,University of Madras,Stanford University
Luis Rademacher,Ohio State University,2009,Assistant,Algorithms & Theory,University of Chile,Massachusetts Institute of Technology
Mikhail Belkin,Ohio State University,2005,Associate,Machine Learning & Pattern Recognition,University of Toronto,University of Chicago
Nicoleta Roman,Ohio State University,2005,Assistant,Machine Learning & Pattern Recognition,University of Bucharest,Ohio State University
P. Sadayappan,Ohio State University,1990,Full,Distributed & Parallel Computing,Indian Institute of Technology - Madras,State University of New York - Stony Brook
Paul Sivilotti,Ohio State University,2004,Associate,Distributed & Parallel Computing,Queen's University - Ontario,California Institute of Technology
Prasun Sinha,Ohio State University,2003,Associate,Networks & Communications,Indian Institute of Technology - Delhi,University of Illinois at Urbana-Champaign
Raghu Machiraju,Ohio State University,2003,Full,Graphics,Delhi College of Engineering,Ohio State University
Rephael Wenger,Ohio State University,,Associate,Graphics,Princeton University,McGill University - Montreal
Roger Crawfis,Ohio State University,2012,Associate,Graphics,Purdue University,University of California - Davis
Spyros Blanas,Ohio State University,2013,Assistant,Databases,Technical University of Crete,University of Wisconsin - Madison
Tamal Dey,Ohio State University,,Full,Graphics,Jadavpur University,Purdue University
Xiaodong Zhang,Ohio State University,,Full,Distributed & Parallel Computing,Beijing University of Technology,University of Colorado Boulder
Yusu Wang,Ohio State University,2005,Associate,Graphics,Tsinghua University - Beijing,Duke University
Adam Smith,Pennsylvania State University,,Associate,Security & Privacy,McGill University - Montreal,Massachusetts Institute of Technology
Anand Sivasubramaniam,Pennsylvania State University,1995,Full,Operating Systems,Indian Institute of Technology - Madras,Georgia Institute of Technology
Bhuvan Urgaonkar,Pennsylvania State University,,Associate,Distributed & Parallel Computing,Indian Institute of Technology - Kharagpur,University of Massachusetts - Amherst
Daniel Kifer,Pennsylvania State University,2008,Assistant,Machine Learning & Pattern Recognition,New York University,Cornell University
George Kesidis,Pennsylvania State University,2000,Full,Networks & Communications,University of Waterloo - Ontario,University of California - Berkeley
Guohong Cao,Pennsylvania State University,1999,Full,Networks & Communications,Xi'an Jiaotong University,Ohio State University
Jesse Barlow,Pennsylvania State University,1981,Full,Scientific Computing,University of Kansas,Northwestern University
John (Jack) Sampson,Pennsylvania State University,2013,Assistant,Hardware & Architecture,University of California - Berkeley,University of California - San Diego
John Carroll,Pennsylvania State University,1982,Full,Human-Computer Interaction,Lehigh University,Columbia University
John Hannan,Pennsylvania State University,,Associate,Programming Languages,Cornell University,University of Pennsylvania
John J. Metzner,Pennsylvania State University,1986,Full,Networks & Communications,New York University,New York University
Kamesh Madduri,Pennsylvania State University,2011,Assistant,Distributed & Parallel Computing,Indian Institute of Technology - Madras,Georgia Institute of Technology
Mary Jane Irwin,Pennsylvania State University,1977,Full,Hardware & Architecture,Memphis State University,University of Illinois at Urbana-Champaign
Padma Raghavan,Pennsylvania State University,2000,Full,Distributed & Parallel Computing,Indian Institute of Technology - Kharagpur,Pennsylvania State University
Patrick D. McDaniel,Pennsylvania State University,2004,Full,Security & Privacy,Ohio University,University of Michigan
Paul Medvedev,Pennsylvania State University,2012,Assistant,Bioinformatics & Computational Biology,University of California - Los Angeles,University of Toronto
Piotr Berman,Pennsylvania State University,1982,Associate,Bioinformatics & Computational Biology,Institute of Mathematics Polish Academy of Sciences,Massachusetts Institute of Technology
Robert Collins,Pennsylvania State University,2005,Associate,Computer Vision,Pennsylvania State University,University of Massachusetts - Amherst
Sencun Zhu,Pennsylvania State University,2009,Associate,Scientific Computing,Tsinghua University - Beijing,George Mason University
Sofya Raskhodnikova,Pennsylvania State University,2007,Associate,Algorithms & Theory,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Thomas La Porta,Pennsylvania State University,2002,Full,Networks & Communications,Cooper Union,Columbia University
Trent Jaeger,Pennsylvania State University,2005,Full,Security & Privacy,California Polytechnic State University,University of Michigan
Vijaykrishnan Narayanan,Pennsylvania State University,1998,Full,Real-Time & Embedded Systems,University of Madras,University of South Florida
Wang-Chien Lee,Pennsylvania State University,2002,Associate,Databases,National Chiao Tung University,Ohio State University
Webb C. Miller,Pennsylvania State University,1985,Full,Bioinformatics & Computational Biology,Whitman College,University of Washington
Yanxi Liu,Pennsylvania State University,2006,Associate,Machine Learning & Pattern Recognition,Beijing Normal University,University of Massachusetts - Amherst
Yuan Xie,Pennsylvania State University,2003,Full,Hardware & Architecture,Tsinghua University - Beijing,Princeton University
Adam Finkelstein,Princeton University,1997,Full,Graphics,Swarthmore College,University of Washington
Andrea LaPaugh,Princeton University,1981,Full,Information Retrieval,Cornell University,Massachusetts Institute of Technology
Andrew Appel,Princeton University,1986,Full,Programming Languages,Princeton University,Carnegie Mellon University
Arvind Narayanan,Princeton University,2012,Assistant,Security & Privacy,Indian Institute of Technology - Madras,University of Texas - Austin
Bernard Chazelle,Princeton University,1986,Full,Algorithms & Theory,École Nationale Supérieure des Mines de Paris,Yale University
Brian Kernighan,Princeton University,,Full,Programming Languages,University of Toronto,Princeton University
David August,Princeton University,1999,Full,Hardware & Architecture,Rensselaer Polytechnic Institute,University of Illinois at Urbana-Champaign
David Blei,Princeton University,2006,Associate,Machine Learning & Pattern Recognition,Brown University,University of California - Berkeley
David Dobkin,Princeton University,1981,Full,Graphics,Massachusetts Institute of Technology,Harvard University
David Walker,Princeton University,2008,Full,Programming Languages,Queen's University - Ontario,Cornell University
Douglas Clark,Princeton University,1993,Full,Hardware & Architecture,Yale University,Carnegie Mellon University
Edward Felten,Princeton University,1993,Full,Security & Privacy,California Institute of Technology,University of Washington
Jennifer Rexford,Princeton University,2005,Full,Networks & Communications,Princeton University,University of Michigan
Jianxiong Xiao,Princeton University,2012,Assistant,Computer Vision,Hong Kong University of Science and Technology,Massachusetts Institute of Technology
Kai Li,Princeton University,1986,Full,Distributed & Parallel Computing,Jilin University,Yale University
Margaret Martonosi,Princeton University,1994,Full,Hardware & Architecture,Cornell University,Stanford University
Michael Freedman,Princeton University,2007,Associate,Networks & Communications,Massachusetts Institute of Technology,New York University
Mona Singh,Princeton University,1999,Full,Bioinformatics & Computational Biology,Harvard University,Massachusetts Institute of Technology
Moses Charikar,Princeton University,2001,Full,Algorithms & Theory,Indian Institute of Technology - Bombay,Stanford University
Olga Troyanskaya,Princeton University,2009,Full,Algorithms & Theory,University of Richmond,Stanford University
Rebecca Fiebrink,Princeton University,2011,Assistant,Human-Computer Interaction,Ohio State University,Princeton University
Robert Schapire,Princeton University,2002,Full,Algorithms & Theory,Brown University,Massachusetts Institute of Technology
Robert Tarjan,Princeton University,1985,Full,Algorithms & Theory,California Institute of Technology,Stanford University
Sanjeev Arora,Princeton University,1994,Full,Algorithms & Theory,Massachusetts Institute of Technology,University of California - Berkeley
Thomas Funkhouser,Princeton University,2009,Full,Bioinformatics & Computational Biology,Stanford University,University of California - Berkeley
Vivek Pai,Princeton University,2007,Associate,Networks & Communications,Rice University,Rice University
Aditya P. Mathur,Purdue University,1987,Full,Software Engineering,Birla Institute of Technology and Science - Pilani,Birla Institute of Technology and Science - Pilani
Ahmed Elmagarmid,Purdue University,1988,Full,Databases,University of Dayton,Ohio State University
Ahmed Sameh,Purdue University,1997,Full,Scientific Computing,University of Alexandria,University of Illinois at Urbana-Champaign
Aman Yadav,Purdue University,2012,Associate,Computer Education,Deenbandhu Chhotu Ram University of Science and Technology,Michigan State University
Ananth Grama,Purdue University,1996,Full,Distributed & Parallel Computing,Indian Institute of Technology - Roorkee,University of Minnesota - Twin Cities
Bharat Bhargava,Purdue University,1984,Full,Security & Privacy,Punjab University & Indian Institute of Science,Purdue University
Bradley Lucier,Purdue University,1981,Full,Scientific Computing,University of Windsor,University of Chicago
Buster Dunsmore,Purdue University,1978,Associate,World Wide Web,University of Tennessee,University of Maryland - College Park
Chris Clifton,Purdue University,2001,Full,Security & Privacy,Massachusetts Institute of Technology,Princeton University
Cristina Nita-Rotaru,Purdue University,2003,Associate,Distributed & Parallel Computing,Polytechnic University of Bucharest,Johns Hopkins University
Daisuke Kihara,Purdue University,2003,Associate,Bioinformatics & Computational Biology,University of Tokyo,Kyoto University
Daniel Aliaga,Purdue University,2003,Associate,Graphics,Brown University,University of North Carolina - Chapel Hill
David Gleich,Purdue University,2011,Assistant,Algorithms & Theory,Harvey Mudd College,Stanford University
Dongyan Xu,Purdue University,2001,Full,Distributed & Parallel Computing,Zhongshan University,University of Illinois at Urbana-Champaign
Douglas Comer,Purdue University,1976,Full,Networks & Communications,Houghton College,Pennsylvania State University
Elena Grigorescu,Purdue University,2012,Assistant,Algorithms & Theory,Bard College,Massachusetts Institute of Technology
Elisha Sacks,Purdue University,1994,Full,Scientific Computing,Carnegie Mellon University,Massachusetts Institute of Technology
Eugene H. Spafford,Purdue University,1987,Full,Security & Privacy,State University of New York - Brockport,Georgia Institute of Technology
Greg N. Frederickson,Purdue University,1982,Full,Algorithms & Theory,Harvard University,University of Maryland - College Park
